#,original_cpv,Original_cpv_text,title,short_desc_eng,long_desc_eng
299,79632000,Personnel-training services,"Servicio de formación de euskera para el ente publico Euskal Irrati Telebista y sus sociedades dependientes Euskal Telebista, S. A. U., Eusko Irratia, S. A. U., Radio Vitoria, S. A. U. y Eitbnet, S. A. U.","",""
300,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
301,79632000,Personnel-training services,"Servicio de formación de euskera para el ente publico Euskal Irrati Telebista y sus sociedades dependientes Euskal Telebista, S. A. U., Eusko Irratia, S. A. U., Radio Vitoria, S. A. U. y Eitbnet, S. A. U.","",""
302,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
303,79632000,Personnel-training services,"Servicio de formación de euskera para el ente publico Euskal Irrati Telebista y sus sociedades dependientes Euskal Telebista, S. A. U., Eusko Irratia, S. A. U., Radio Vitoria, S. A. U. y Eitbnet, S. A. U.","",""
304,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
305,79632000,Personnel-training services,"Servicio de formación de euskera para el ente publico Euskal Irrati Telebista y sus sociedades dependientes Euskal Telebista, S. A. U., Eusko Irratia, S. A. U., Radio Vitoria, S. A. U. y Eitbnet, S. A. U.","",""
306,30233100,Computer storage units,Systemlieferung Ethernus CS8800,"",""
307,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
308,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
309,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
310,50222000,Repair and maintenance services of rolling stock,"GPN 7803127 — Servizio di progettazione, prototipazione, di prima installazione e fornitura del complessivo Colonna Lavabo","",""
311,38630000,Astronomical and optical instruments,"Adjudicación del Acuerdo Marco para el suministro de equipos de optoelectrónica, software, monitores de difusión óptica y fibra óptica","",""
312,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
313,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
314,79993000,Building and facilities management services,Facilities Management Services,"The company is outsourcing its facilities management services for its Estate Sites which are located in the North West. The company is seeking to provide services including facilities management, planned and unplanned services, security services and cleaning and ancillary services to its estate sites, which will provide an effective service for its workforce and value for money for the company.",The services will comprise reactive maintenance (where the company has accepted a quotation from the contractor for a task) and planned preventative maintenance. Please see the full and detailed scope for this lot in the procurement documents freely available as detailed above.
315,48000000,Software package and information systems,Fourniture d'une solution informatique de gestion et de suivi des dialyses dans le cadre du suivi de greffe de rein et autres prestations associées,"",""
316,73000000,Research and development services and related consultancy services,"Routes to Medicine, Pharmacy and Allied Health Professions",In the tender award documents.,In the tender award documents.
317,38630000,Astronomical and optical instruments,"Adjudicación del Acuerdo Marco para el suministro de equipos de optoelectrónica, software, monitores de difusión óptica y fibra óptica","",""
318,38630000,Astronomical and optical instruments,"Adjudicación del Acuerdo Marco para el suministro de equipos de optoelectrónica, software, monitores de difusión óptica y fibra óptica","",""
319,71410000,Urban planning services,"Elaboration d'un plan local d'urbanisme intercommunal, d'un règlement local de publicité intercommunal et d'un programme local de l'habitat","",""
320,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
321,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
322,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
323,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
324,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
325,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
326,15810000,"Bread products, fresh pastry goods and cakes",Tuoreet leivät ja leipomotuotteet sekä Täytetyt leivät -hankinta ajalle 1.9.2020 (tavoite) – 31.8.2022 (mahdollinen optiokausi 1.9.2022–31.8.2024),"",""
327,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
328,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
329,90911200,Building-cleaning services,Offenes Verfahren zur Vergabe von Gebäudereinigungsleistungen (Unterhaltsreinigungsleistungen) für die Dienstliegenschaft Hartmut-Dost-Str. 5 in 01099 Dresden - VOEK 020-20,"",""
330,79620000,Supply services of personnel including temporary staff,2000118110 ANÜ Logistics Specialist Schwielowsee,"",""
331,30213200,Tablet computer,Lieferung von mobilen Endgeräten — Tablets und Notebooks,"",""
332,90500000,Refuse and waste related services,"Wynajem sprzetu z obsluga, odbiór i zagospodarowanie frakcji podsitowej 0–60 mm (kod: 19 12 12) z odpadów komunalnych zmieszanych (20 03 01)","",""
333,50230000,"Repair, maintenance and associated services related to roads and other equipment",2020/27324 — Operational Contract 3412 Sør-Gudbrandsdalen 2020-2025,"The assignment includes operational and maintenance tasks, with independent responsibility for fulfilling some of the tasks, on county roads with associated side facilities, side areas, equipment and installations in Ringsaker, Lillehammer, Nordre Land, Øyer, Ringebu, Sør-Fron and Gausdal municipalities in accordance with the list of roads given in chapter D2-V.The work will be settled by:The work will be remunerated by round sum for round sum processes, in accordance with amounts and unit prices for other processes such as cost-plus work in accordance with the hourly rates for crew and machinery.The contract will be valid from 1 September 2020 to 31 August 2025 for all the assignments that have been described.The contracting authority has the option to extend the contract for 12 months, from 1 September 2025 to 31 August 2026.","The road network included in the contract (including arms and ramps) consists of:492.2 km roads in total of which 451.6 km are county roads, 40.6 km are county foot/cycle paths.The traffic on the road network varies from approx. ADT 50 to approx. ADT 11 200 and an annual traffic growth of 2 % is expected.The assignment mainly consists of routine operational assignments and minor maintenance assignments on the road network. The assignment also consists of inspecting and registering, planning activities, stand-by for winter operations and general traffic flow, documentation, reports to the builder, information to the public and handling other assignments that are necessary for the operation and maintenance of the road network.Tender conference: 24 March 2020, 11.00, Place: Vinstra vegpark, Rustvegen 81 2640 Vinstra.Innlandet County encourages interested parties to take part in the tender conference in order to get information on the tender documentation."
334,30213200,Tablet computer,Lieferung von mobilen Endgeräten — Tablets und Notebooks,"",""
335,33194100,Devices and instruments for infusion,"Suministro de sistemas, filtros y alargaderas de infusión, sistemas de bombeo de sangre y perforador transferencia de fluidos con destino al Hospital General Universitario Gregorio Marañón","",""
336,33194100,Devices and instruments for infusion,"Suministro de sistemas, filtros y alargaderas de infusión, sistemas de bombeo de sangre y perforador transferencia de fluidos con destino al Hospital General Universitario Gregorio Marañón","",""
337,38630000,Astronomical and optical instruments,"Adjudicación del Acuerdo Marco para el suministro de equipos de optoelectrónica, software, monitores de difusión óptica y fibra óptica","",""
338,79993000,Building and facilities management services,Facilities Management Services,"The company is outsourcing its facilities management services for its Estate Sites which are located in the North West. The company is seeking to provide services including facilities management, planned and unplanned services, security services and cleaning and ancillary services to its estate sites, which will provide an effective service for its workforce and value for money for the company.","The contractor shall be required to provide the following services, as part of the security services. For further detail and any additional services that are included in this lot, please see the full and detailed scope for this lot in the procurement documents freely available as detailed above• security guarding services.• where provided; manage and maintain all necessary access and egress equipment, mechanical or otherwise required for the provision of the security service, such as, swipe card mechanisms.• liaise on a regular basis with external agencies including, the police, fire and security services, as part of its response to any incident.• ensure that security staff use their reasonable discretion to decide whether a particular security incident requires the intervention of the police fire or security services, and to action immediately if such intervention is required.• instigate and maintain systems and procedures to record, collate, analyse and report all security incidents fully and accurately and such reports shall be provided to the Company on a regular basis.Please see the full and detailed Scope for this lot in the procurement documents freely available as detailed above"
339,79993000,Building and facilities management services,Facilities Management Services,"The company is outsourcing its facilities management services for its Estate Sites which are located in the North West. The company is seeking to provide services including facilities management, planned and unplanned services, security services and cleaning and ancillary services to its estate sites, which will provide an effective service for its workforce and value for money for the company.","The services shall be provided on the identified Sites in accordance with the provisions of this scoping specification and the service standard, which shall include but not be limited to:Help deskWaste removalWindow cleaningPest controlControl of materials and equipment.The detailed scope of services is available within the procurement documents freely available as detailed above."
340,38630000,Astronomical and optical instruments,"Adjudicación del Acuerdo Marco para el suministro de equipos de optoelectrónica, software, monitores de difusión óptica y fibra óptica","",""
341,79993000,Building and facilities management services,Facilities Management Services,"The company is outsourcing its facilities management services for its Estate Sites which are located in the North West. The company is seeking to provide services including facilities management, planned and unplanned services, security services and cleaning and ancillary services to its estate sites, which will provide an effective service for its workforce and value for money for the company.","Lot 4 is a full facilities management requirement, to include all of the requirements of Lots 1, 2 and 3. The scope document freely available as detailed above is divided into Lots 1, 2 and 3, therefore the entire Scope document represents Lot 4."
342,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.","A framework agreement will be signed with up to six (6) tenderers for trade services, electrical work, including telecommunication and computer work per geographical sub-area:1) Ålesund North,2) Ålesund West,3) Ålesund East.Tenderers can submit a tender for one/several/all of the parts. Each sub-area will be evaluated and awarded separately and must, therefore, be priced independently of each other. Tenderers are asked to assess their capacity as regards to how many subareas they can submit a tender for."
343,34100000,Motor vehicles,Gépjármuvek beszerzése-2./2020.,"",""
344,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.","A framework agreement will be signed with up to six (6) tenderers for trade services, electrical work, including telecommunication and computer work per geographical subarea:1) Ålesund North,2) Ålesund West,3) Ålesund East.Tenderers can submit a tender for one/several/all of the parts. Each subarea will be evaluated and awarded separately and must, therefore, be priced independently of each other. Tenderers are asked to assess their capacity as regards to how many subareas they can submit a tender for."
345,39100000,Furniture,Vnitrní vybavení - Nábytek,"",""
346,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.","A framework agreement will be signed with up to six (6) tenderers for trade services, electrical work, including telecommunication and computer work per geographical subarea:1) Ålesund North,2) Ålesund West,3) Ålesund East.Tenderers can submit a tender for one/several/all of the parts. Each subarea will be evaluated and awarded separately and must, therefore, be priced independently of each other. Tenderers are asked to assess their capacity as regards to how many sub-areas they can submit a tender for."
347,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
348,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
349,71320000,Engineering design services,"Wykonanie dokumentacji projektowo-kosztorysowej przebudowy gazociagów n/c wraz z przylaczami gazu n/c w msc. Grudziadz, ul. Chelminska, Laskowicka, Brzezna wraz ze sprawowaniem nadzoru autorskiego","",""
350,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
351,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
352,79823000,Printing and delivery services,VAG20S1546 — recapito certificato,"",""
353,50800000,Miscellaneous repair and maintenance services,209X000330 — 60334653,"",""
354,45324000,Plasterboard works,"JVA Rheinbach, Neubau Küche Wäscherei, Trockenbauarbeiten","",""
355,71410000,Urban planning services,"Elaboration d'un plan local d'urbanisme intercommunal, d'un règlement local de publicité intercommunal et d'un programme local de l'habitat","",""
356,71410000,Urban planning services,"Elaboration d'un plan local d'urbanisme intercommunal, d'un règlement local de publicité intercommunal et d'un programme local de l'habitat","",""
357,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
358,48481000,Sales or marketing software package,Kauf einer Software für den digitalen Vertrieb und die digitale Kundenberatung,"",""
359,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
360,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
361,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
362,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
363,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
364,71410000,Urban planning services,"Elaboration d'un plan local d'urbanisme intercommunal, d'un règlement local de publicité intercommunal et d'un programme local de l'habitat","",""
365,66113000,Credit granting services,"Procedura aperta telematica per assunzione mutuo, con oneri a carico della regione, per l’attuazione di spese d’investimento specifiche previste per l’anno 2020 (art. 4 L.R. 46/19) — CIG: 8396917B1B.","",""
366,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
367,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
368,45000000,Construction work,"Procurement — Trade Services, Electrical Work, Including Telecommunication and Computer Work, 2020","The aim of the procurement is to cover the need for trade services for electrical work, including telecommunication and computer work, in accordance with the requirements specification.The work will mainly consist of ongoing maintenance and repairs, work on renovations both inside and outside, and minor expansions and extensions. Contract assignments can be included in the contract if the contracting authority deems it appropriate.",""
369,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
370,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
371,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
372,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
373,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
374,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
375,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
376,33185200,Cochlear implant,"Gara europea a procedura aperta telematica, ai sensi dell’art. 60, comma 1 del D.Lgs. n. 50/2016, e s.m.i., per la fornitura di «impianti cocleari», da aggiudicarsi ai sensi dell’art. 95, comma 2 del D.Lgs. n. 50/2016 s.m.i.","",""
377,90911200,Building-cleaning services,Nettoyage et entretien des bâtiments communaux,"",""
378,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
379,71530000,Construction consultancy services,"?????????? ?? ????????? ??????????? ?? ???????????? ??????? ?????? ?? ??????????? ?? ???????? ??????, ????? „??????“ ??? ?????? ? ???????????? ???????? ?? ????????? ???????????, ?????? ? ??? ? 18","",""
380,15810000,"Bread products, fresh pastry goods and cakes",Tuoreet leivät ja leipomotuotteet sekä Täytetyt leivät -hankinta ajalle 1.9.2020 (tavoite) – 31.8.2022 (mahdollinen optiokausi 1.9.2022–31.8.2024),"",""
381,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
382,45000000,Construction work,"AO nº 2267 — travaux de rénovation des logements de la résidence CAP à Blanquefort, 67 rue du Maurian","",""
383,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
384,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
385,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
386,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
387,33182300,Cardiac surgery devices,Dostawa opatrunków i wyrobów medycznych do kardiologicznych i naczyniowych zabiegów specjalistycznych,"",""
388,45421100,Installation of doors and windows and related components,ROE-316 Römerstadtschule Tischlerarbeiten Innentüren [BL025],"",""
389,72000000,"IT services: consulting, software development, Internet and support","CNUV-WMI, ISA-Leistungen","",""
390,79212300,Statutory audit services,Prestations de contrôle qualité de service fait et de visites sur place d'opérations cofinancées par le Fonds social européen,"",""
391,55524000,School catering services,Fornecimento de refeições escolares: ano letivo 2020/2021,"",""
392,39113600,Benches,"Wykonanie, dostawa i montaz na terenie m.st. Warszawy metalowo-drewnianych lawek miejskich, tzw. lawek warszawskich","",""
393,79212300,Statutory audit services,Prestations de contrôle qualité de service fait et de visites sur place d'opérations cofinancées par le Fonds social européen,"",""
394,71248000,Supervision of project and documentation,Pelnienie funkcji dyrektora projektu dla zadania pn.: „Budowa trasy tramwajowej KST etap IV – ul. Meissnera – Mistrzejowice w modelu partnerstwa publiczno-prywatnego.,"",""
395,42996000,Machinery for the treatment of sewage,"«???µ??e?a ?a? e??at?stas? e??p??sµ??, ??a t?? a?aß??µ?s? ?a? t?? e?s???????sµ? t?? µ???da? ß????????? ?a?a??sµ?? t?? ?.?. ???fa????, t?? ??µ?? ?a???d????».","",""
396,90500000,Refuse and waste related services,"Odbiór, transport i zagospodarowanie odpadów komunalnych z nieruchomosci, na których zamieszkuja mieszkancy i z nieruchomosci, na których nie zamieszkuja mieszkancy – Lubichowo","",""
397,71410000,Urban planning services,"Elaboration d'un plan local d'urbanisme intercommunal, d'un règlement local de publicité intercommunal et d'un programme local de l'habitat","",""
398,79710000,Security services,NSSCOVID-19-115 Security for NHS Louisa Jordan,Security for NHS Louisa Jordan.,This is a directly awarded contract between the authority on behalf of NHS Scotland to meet the additional demands of the Scottish Health and Social Care sector during the current Covid-19 pandemic.This award has been approved for reasons of extreme urgency brought about by events unforeseeable by the contracting authority in line with Regulation 33(1)(c) of the Public Contracts (Scotland) Regulations 2015.
399,45214200,Construction work for school buildings,Errichtung einer Containeranlage für Unterrichtsräume,"",""
400,33694000,Diagnostic agents,Cinidla a spotrební materiál pro zajištení koagulacních testu z cerstvé plné krve spojené s výpujckou mikrokoagulacních systému - sdružená verejní zakázka II,"",""
401,14712000,Lead,"Dostawy krajowych odpadów olowionosnych w kodach 10 04 01*,10 04 02*,10 04 05*","",""
402,90000000,"Sewage, refuse, cleaning and environmental services",Graffitifjernelse og forebyggende behandling af overflader mod graffiti,"",""
403,34928400,Urban furniture,Fourniture de mobilier de signalétique pour le service des parcs jardins et espaces naturels de la ville de Metz,"",""
404,33100000,Medical equipments,Medicinines irangos isigijimas Nr. 3 (C lankas su operaciniu stalu; C lankas su operaciniu stalu (tipas Nr. 2)),"",""
405,90000000,"Sewage, refuse, cleaning and environmental services",Graffitifjernelse og forebyggende behandling af overflader mod graffiti,"",""
406,45112700,Landscaping work,Landschaftsbauarbeiten WA18,"",""
407,50413200,Repair and maintenance services of firefighting equipment,Maintenance des installations du système de sécurité incendie du Sénat,"",""
408,44322000,Cable accessories,Kabeltillbehör & Linjemateriel,"",""
409,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
410,34144212,Water-tender vehicles,Beschaffung eines Löschgruppenfahrzeugs (LF 10) für die Feuerwehr,"",""
411,31173000,Instrument transformer,2 készlet 145 kV-os kombinált mérováltó beszerzése,"",""
412,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
413,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
414,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
415,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
416,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
417,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
418,31000000,"Electrical machinery, apparatus, equipment and consumables; lighting",Fourniture d'outillage et EPI,"",""
419,33194100,Devices and instruments for infusion,"Suministro de sistemas, filtros y alargaderas de infusión, sistemas de bombeo de sangre y perforador transferencia de fluidos con destino al Hospital General Universitario Gregorio Marañón","",""
420,33194100,Devices and instruments for infusion,"Suministro de sistemas, filtros y alargaderas de infusión, sistemas de bombeo de sangre y perforador transferencia de fluidos con destino al Hospital General Universitario Gregorio Marañón","",""
421,79418000,Procurement consultancy services,"Konkurrensutsättning av DIS Upphandlingskonsulter 20964, Fastighetsavdelningen 3","",""
422,33194100,Devices and instruments for infusion,"Suministro de sistemas, filtros y alargaderas de infusión, sistemas de bombeo de sangre y perforador transferencia de fluidos con destino al Hospital General Universitario Gregorio Marañón","",""
423,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
424,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
425,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
426,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
427,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
428,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
429,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
430,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
431,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
432,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
433,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
434,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
435,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
436,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
437,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
438,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
439,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
440,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
441,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
442,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
443,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
444,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
445,45453000,Overhaul and refurbishment work,Restauration intérieure et création d'un centre d'art contemporain — château des Montlaur,"",""
446,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
447,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
448,90919300,School cleaning services,St Mary's CE High School — Cleaning Services Tender,"The successful supplier will be required to provide cleaning services for St Mary’s CE High School.St Mary’s CE High School in Cheshunt, Hertfordshire, is a secondary school for 11 to 19 year olds with 1 244 students and 168 staff, who benefit from a superb ‘state of the art’ building which opened in April 2010, providing excellent learning facilities for students.","The tender project is seeking to appoint a supplier whose initiative and innovation will be welcomed for the provision of cleaning services within the facilities for the school. The high-quality service levels proposed, should maintain excellent standards throughout, resulting in a pleasant environment for both the pupils and staff.The basis and rationale that the client requires the successful supplier to operate to at all times is being able to provide a school that is fit for purpose and that the supplier is proactive in the management of the contract, thus ensuring that all specifications are achieved and that the frequency of cleans is as detailed within the tender specification.The contract being tendered is for three years in duration from 1 September 2020 to 31 August 2023 with the option to extend for a maximum of a further 2 years at the discretion of the client. The contract will be fixed price in nature, with the supplier invoicing the Client for one-twelfth of the annual cost on a monthly basis.It should be noted that the successful supplier will be expected to bring to the contract: innovation; new equipment and cleaning methods, with BICSc standards being achieved, as a minimum, thus ensuring that the highest levels of cleanliness are maintained in all areas at all times and also ensuring that the productivity of the cleaning operatives is enhanced moving forward into the new contract term.Current cleaning arrangement:At present there are 23 cleaning posts at the School where the structure is:• 20 cleaning operatives ~ 200 hours per week (20 posts x 10 hours per week);• 1 cleaning operative ~ 15 hours per week (1 post x 15 hours per week);• 1 cleaning operative ~ 12 hours per week (1 post x 15 hours per week);• 1 cleaning operative ~ 9.5 hours per week (1 post x 9.5 hours per week).Please be advised that:• the cleaning service is currently run in-house and the School’s site staff line manage the cleaning team;• all cleaning is currently carried out after school;• there are currently 12 cleaning staff in the Local Government Pension Scheme (LGPS);• the client has a minimum requirement for a Supplier’s employers liability / public liability and professional indemnity insurance of £5 million;• the minimum annual turnover that your organisation must have achieved to be considered for this opportunity is GBP 1 million.The annual value of the current contract is GBP 123 000 (the total cost per annum at present).Therefore, the value of this contract is GBP 615 000."
449,45110000,Building demolition and wrecking work and earthmoving work,"Teilneubau und Umstrukturierungsmaßnahmen im BTZ der Handwerkskammer für Oberfranken in Hof – Interimsmaßnahmen: Metallbau, Fenster, Innentüren","",""
450,34110000,Passenger cars,"???????? ?? ????, ?????????????? ?????????????? ??????????? ???????? 10+1+1 ????? ?? ???? ? ?????????? ??? ?????? ? ??????????? ?? ?????????? ?? ??????... ?????????? ? ?????? VI.3)","",""
